epoch_sec,loaded_apps
1608293949,0
1608294009,0
1608294069,29
1608294129,91
1608294189,143
1608294249,196
1608294309,243
1608294369,289
1608294429,346
1608294489,395
1608294549,442
1608294610,492
1608294670,537
1608294730,584
1608294790,644
1608294850,704
1608294910,742
1608294970,796
1608295030,805
1608295090,805
1608295150,805
1608295210,805
1608295270,805
1608295330,805
1608295390,805
1608295450,805
1608295510,805
1608295570,805
1608295630,805
1608295690,805
1608295750,805
1608295810,805
1608295870,805
1608295930,805
1608295990,805
1608296050,805
1608296110,805
1608296170,805
1608296230,805
