epoch_sec,loaded_apps
1608319030,0
1608319090,17
1608319150,46
1608319210,92
1608319270,192
1608319330,180
1608319390,243
1608319451,232
1608319511,331
1608319571,321
1608319631,200
1608319691,288
1608319751,261
1608319811,357
1608319871,285
1608319931,295
1608319991,229
1608320051,320
1608320111,254
1608320171,217
1608320231,323
1608320291,425
1608320351,310
1608320411,310
1608320471,404
1608320531,310
1608320591,310
1608320651,388
1608320711,310
1608320771,310
1608320831,370
1608320891,310
1608320951,310
1608321011,356
1608321071,310
1608321131,310
1608321191,338
1608321251,439
1608321311,310
1608321371,322
1608321431,433
1608321491,310
1608321552,310
1608321612,413
1608321672,310
1608321732,310
1608321792,392
1608321852,310
1608321912,310
1608321972,373
1608322032,310
1608322092,310
1608322152,356
1608322212,310
1608322272,310
1608322332,336
1608322392,439
1608322452,310
1608322512,314
1608322572,418
1608322632,310
1608322692,310
1608322752,404
1608322812,310
1608322872,310
1608322932,378
1608322992,311
1608323052,311
1608323112,365
1608323172,311
1608323232,311
1608323292,349
1608323352,311
1608323412,311
1608323472,333
1608323532,436
1608323592,311
1608323652,314
